Latency,Bandwidth,DataSize,Theory,SimAi,CCL_Simulator
1.00E-07,100,8,671.0887,679.298,671.0887
0.0001,100,8,671.1886,679.69,671.1886
0.0005,100,8,671.5886,681.286,671.5886
0.001,100,8,672.0886,683.282,672.0886
0.002,100,8,673.0886,687.27,673.0886
0.003,100,8,674.0886,691.258,674.0886
0.004,100,8,675.0886,695.25,675.0886
0.005,100,8,676.0886,699.238,676.0886
