chunk_size,baseline,slow,fast,fast_slow
1,190106.854,174938.79,72589.662,68175.156
2,402951.235,382852.531,141776.831,138491.819
4,751130.247,690387.859,277868.757,256726.734
8,1602164.247,1521783.611,557800.161,536993.87
16,3201114.929,3040358.383,1112572.876,1079220.705
